brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
Lenovo,ThinkBook 14 G4 ABA,14.00,,256.00,Ryzen 5,16.00,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,849.00
Dell,Latitude 5420 Laptop,14.00,Black,512.00,Core i5,16.00,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,808.55
Dell,Inspiron 5425,14.00,,512.00,Ryzen 7,16.00,Windows 11 Pro,"Backlit Keyboard,Fingerprint Reader",Integrated,,,,799.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,63P78,14.00,,256.00,Intel Core i7,16.00,Windows 10 Pro,,Integrated,,2.70,3.60,1899.00
Dell,Latitude 7000,14.00,Carbon Fiber,512.00,Core i7,32.00,Windows 10 Pro,Anti-glare Screen,Iris X Graphics,,,,1225.48
Lenovo,Yoga 910,14.00,,256.00,Core i7 7500U,8.00,Windows 10,Backlit Keyboard,Integrated,Intel HD Graphics 620,,3.60,1299.00
MSI,GE66 Raider 10SGS-288,15.60,,,Core i7,32.00,Windows 10 Home,Anti-glare,Dedicated,NVIDIA RTX 2080 Super,2.30,4.40,3299.00
HP,HP Pavilion x360,14.00,,256.00,Core i5,8.00,Windows 10,,Integrated,Intel UHD Graphics,1.60,4.40,586.14
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Lenovo,THINKPAD X1 CARBON 4TH GENERAT,14.00,,,Core i7,8.00,Windows 10 Pro 64-bit,,Dedicated,Intel HD Graphics 5500,2.60,,299.00
Dell,Dell Latitude 7310,13.00,Carbon Fiber,256.00,Core i5-10310Y,16.00,Windows 10 Pro,"Anti Glare,Fingerprint",Integrated,,,,738.79
MICROTELLA,Lenovo Thinkpad,15.60,,256.00,,8.00,Windows 10,,Integrated,,,,749.99
Dell,Precision 7770 Laptop,17.30,Silver,1000.00,Core i7,32.00,Windows 11 Pro,,Dedicated,NVIDIA RTX A3000,,5.00,1689.18
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Lenovo,ThinkBook 14 G4 ABA,14.00,,256.00,Ryzen 5,8.00,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,799.00
Dell,Precision 7760 Laptop,17.30,Silver,2000.00,Core i7,32.00,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A4000,,,5.00,2992.63
Alienware,Dell Alienware Area 51M,17.30,,1512.00,Unknown,32.00,Windows 10,Anti-glare,Dedicated,NVIDIA ®,,4.00,3495.00
HP,ZBook Studio 16 G9,16.00,,1000.00,Core i7,32.00,Windows 11 Pro,Anti-glare Screen,"GeForce RTX 3070 Ti,Iris Xe Graphics",NVIDIA Intel GeForce RTX 3070 Ti Iris Xe Graphics,,,1548.38
Gigabyte,AERO 17 XE5-73US738HP,17.30,Silver,2 TB,Intel Core i7,16.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3070 Ti,,3.50,2999.00
Dell,Latitude 7420,14.00,,,Core i5,8.00,Windows 10 Pro,,Integrated,,,2.60,889.99
Dell,Dell XPS 15 7590 Laptop,15.60,Silver,1000.00,Core i7,32.00,Windows 10 Pro,,Dedicated,NVIDIA GeForce GTX 1650,,3.70,1399.95
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Alienware X17 R2 Laptop,17.30,Lunar Light,1000.00,Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,,2738.99
HP,HP Omen,17.30,Shadow Black,2 TB,Core i7 Family,64.00,Windows 10 Pro,"High Definition Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,2719.00
Lenovo,Lenovo Thinkpad,14.00,Black,,Core i5,8.00,Windows 10 Pro,,Integrated,Intel UHD Graphics 620,1.70,1.00,499.00
Lenovo,,15.60,Platinum Gray,1000.00,Core i3,8.00,Windows 10,,,,2.20,3.80,587.55
Lenovo,,,Black,1.92 TB,,,,Portable,,,,,594.93
Dell,XPS 9305 Laptop,13.30,Platinum Silver,256.00,Core i5,8.00,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,656.52
Dell,Latitude 9330 2-in-1,13.30,Black,1000.00,Core i7,32.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1685.69
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Lenovo,T420,14.00,,320.00,Core i5,4.00,Windows 7,HD Audio,Integrated,ATI Mobility Radeon 7500,,3.90,119.00
Dell,Dell Latitude 5520,15.60,Silver,2 TB,Intel Core i5,32.00,Windows 11 Home,,Dedicated,Intel Iris Xe Graphics,,4.20,1037.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Vostro 7620 Laptop,16.00,Black,1000.00,Core i7,24.00,Windows 10 Pro,,Integrated,NVIDIA GeForce RTX 3050,,,1245.99
Gigabyte,AORUS 15G XC-8US2430SH,15.00,Black,512.00,Intel Mobile CPU,32.00,Windows 10 Home,Anti-glare,Dedicated,,,4.10,1199.99
Dell,Inspiron 3515 Laptop,15.60,Platinum Silver,256.00,AMD Ryzen 7,8.00,Windows 11 Home,,Integrated,AMD Integrated Graphics,,,409.00
Lenovo,ThinkPad T15p Gen 3,15.60,Black,512.00,Core i7,16.00,Windows 11,Anti-glare Screen,GeForce RTX 3050,,,,2130.16
Lenovo,ThinkPad L14 Gen 3,14.00,,512.00,Core i7,16.00,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,,1615.85
ASUS,ROG Strix G15,15.60,Black,512.00,Corei7-10750H,16.00,Windows 10 Home,,Dedicated,NVIDIA ® GeForce RTX™ 2060,,4.40,1229.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Dell Latitude,14.00,,512.00,Core i7,16.00,Windows 10 Pro,,Integrated,Intel UHD Graphics 620,1.90,,1274.77
Dell,Dell XPS 15 9520,15.60,Silver,512.00,Core i7,16.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,1637.99
HP,HP Omen 16 Gaming Laptop,16.10,Shadow Black,4 TB,Core i7 Family,64.00,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,2229.00
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Lenovo,ThinkPad X1 Yoga Gen 7,14.00,,512.00,Core i7,16.00,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,,2069.66
Dell,Dell Precision 7760 Laptop,17.00,Silver,2 TB,Intel Core i9,64.00,Windows 11 Pro,,Dedicated,NVIDIA RTX A3000 6  GDDR6,,,3061.62
Latitude,E7440,14.00,,256.00,Core i5,8.00,Windows 10,Backlit Keyboard,Integrated,Intel HD Graphics,,2.70,133.55
Dell,XPS 15 7590,15.60,,512.00,,16.00,Windows 10 Pro,,Dedicated,NVIDIA GeForce GTX 1650,4.50,3.60,1299.95
Dell,XPS 9520 Laptop,15.60,Platinum Silver,2000.00,Core i9,64.00,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3050 Ti,,,2149.99
Dell,Latitude 3340,13.30,,500.00,Core i3,4.00,Windows 7 Professional,Memory Card Slot,Integrated,Intel HD Graphics 4400,,3.30,198.98
Lenovo,Lenovo ThinkBook Plus,13.30,Iron Gray,512.00,Core i7,16.00,Windows 10 Pro,,Integrated,Intel UHD Graphics,,1.00,999.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Latitude 5430 Laptop,14.00,Black,1000.00,Core i7,32.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1046.99
Dell,Latitude 5420,14.00,Gray,1000.00,Core i5 Family,64.00,Windows 11 Pro,,Integrated,Intel UHD Graphics,,4.50,988.99
HP,Dragonfly Folio G3,13.50,,512.00,Core i7,16.00,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",Iris Xe Graphics,Intel Iris Xe Graphics,,,2742.99
Dell,Dell Latitude,12.00,,,Core i7 6600U,8.00,Windows 10 Pro,,Integrated,Intel HD Graphics 520,2.60,4.00,899.99
Lenovo,ThinkBook 13s G4 IAP,13.30,,256.00,Core i5,8.00,Windows 11 Pro,,Integrated,Intel,1.70,,1049.00
Dell,Latitude 9520,15.00,,512.00,Core i7 Family,16.00,Windows 10 Pro,,Integrated,Integrated Iris Xe Graphics,3.00,,1046.99
Dell,G15 5521 Laptop,15.60,Black,1000.00,Core i9,16.00,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3070 Ti,,,1827.99
Dell,XPS 9530 Laptop,15.60,Platinum Silver,2000.00,Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,2772.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Precision 7770,17.00,,1.5 TB,Intel Core i7,64.00,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA GeForce RTX A4500,,,3346.83
Alienware,R1,15.60,Black,512.00,Core i7 Family,16.00,Windows 10,Anti-glare,Integrated,,,3.90,2699.00
MSI,GS66 Stealth 10UE-498,15.60,Core Black,2 TB,Core i7 Family,32.00,Windows 10 Home,Anti-glare,Dedicated,,,3.70,2599.00
Dell,Dell Inspiron,14.00,Silver,256.00,Core i7,16.00,Windows 10,Backlit Kb,Integrated,,,,988.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Lenovo,X230,12.50,Black,128.00,Core i5,4.00,Windows 7 Professional,Fingerprint Reader,Integrated,,,3.60,899.99
Dell,Precision 7770,17.30,,512.00,Core i7 Family,64.00,Windows 10 Pro,Anti-glare,Dedicated,NVIDIA RTX A3000 12  GDDR6,,,2051.37
Dell,Latitude 5520 Laptop,15.60,Black,256.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,843.99
Dell,Dell XPS 13 9300,11.60,,256.00,Unknown,8.00,Windows 10,,Integrated,Intel,3.60,3.00,1012.84
Dell,XPS 9520 Laptop,15.60,Platinum Silver,512.00,Core i7,16.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050,,,1657.99
Dell,Latitude 7520 Laptop,15.60,Black,512.00,Core i5,16.00,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1102.99
Dell,Latitude 5530 Laptop,15.60,Black,2000.00,Core i7,32.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,2498.23
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Latitude 3520,15.60,,256.00,Core i5,16.00,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,2.40,,877.99
Dell,Chromebook 11 3000,11.60,Black,,Celeron,4.00,Chrome OS,Anti-glare Screen,"HD Graphics, Integrated",Intel HD Graphics,,,195.97
hp,HP Omen,15.60,Black,512.00,Corei7-10750H,16.00,Windows 10,Anti-glare,Dedicated,,,4.50,1999.00
Elo,EloPOS,22.00,Black,,Core i5,8.00,Linux,,,,,,2320.03
Dell,Alienware X17 R2 Laptop,17.30,Lunar Light,1000.00,Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,5.00,2931.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Lenovo,ThinkPad P15 Gen 1 with Nvidia Quadro RTX 4000 Max-Q Design,15.60,Black,1000.00,Core i7 Family,64.00,Windows 10 Pro,,Dedicated,NVIDIA Quadro RTX 4000 with Max-Q Design 8  GDDR6,,,3999.00
Lenovo,Lenovo Thinkpad,14.00,Black,1000.00,Core i7,24.00,Windows 10 Pro,"Anti-glare,Fingerprint Reader,Stereo Speakers",Integrated,,,3.70,1599.00
LG,14T90P-K.AAB9U1,14.00,Black,1000.00,Core i7 Family,16.00,Windows 11 Home,Lightweight,Integrated,,,4.10,1635.99
Dell,Dell XPS 15 9520,15.60,Silver,512.00,Core i7,64.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,1999.00
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Alienware X14 Laptop,14.00,Lunar Light,2000.00,Core i7,32.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,,2076.40
Dell,Dell Inspiron,17.30,,2 TB,Core i7,16.00,Windows 10 Home,,Dedicated,NVIDIA GeForce MX230,,4.50,1699.00
Dell,Latitude 5320 Laptop,13.30,Black,256.00,Core i5,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,731.97
Lenovo,ThinkPad L14 Gen 3,14.00,,256.00,Core i5,8.00,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,,1059.00
Dell,Latitude Rugged 5430 Laptop,14.00,Silver,512.00,Core i5,16.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1354.99
Dell,Latitude 9330 2-in-1,13.30,Black,512.00,Core i7,16.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1540.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Lenovo,21EM001GUS,13.00,Black,512.00,Core i7,32.00,Windows 11 Pro,,Integrated,,,,2729.00
Lenovo,Lenovo Thinkpad,17.30,,,Core i7,32.00,Windows,Backlit Keyboard,Integrated,,,,2273.00
Dell,Inspiron 3511,15.60,,1000.00,Core i5,16.00,Windows 10 Pro,,Integrated,Intel UHD Graphics,1.00,,656.85
Dell,Latitude,15.60,,512.00,Core i7,8.00,Windows 11 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,,,1703.99
SAMSUNG,Galaxy Book Odyssey,15.60,,1000.00,Intel Core i7,16.00,Windows 11 Home,"Backlit Kb,Fingerprint Reader",Dedicated,NVIDIA GeForce RTX 3050 Ti Max-Q Graphics,,4.70,2388.42
Alienware,AWm15-7830SLV-PUS,15.60,,1000.00,Core i7 8750H,16.00,Windows 10 Home,Anti-glare,Dedicated,NVIDIA GeForce GTX 1060,,4.10,1799.95
Dell,Latitude 5320 2-in-1,13.30,Black,1000.00,Core i5,8.00,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,756.99
Dell,Inspiron 5625 Laptop,16.00,"Grey, Gray, Platinum Silver",512.00,AMD Ryzen 7,16.00,Windows 11 Pro,,Integrated,AMD Integrated Graphics,,,702.99
Lenovo,ThinkPad,14.00,,256.00,Core i5-5200U,8.00,Windows 10,"Backlit Keyboard,Fingerprint Reader","Integrated, Dedicated",Intel Graphics Integrated,,3.30,374.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Lenovo,13w Yoga,13.30,,256.00,Ryzen 5,8.00,Windows 11 Pro,Information Not Available,Radeon Graphics,AMD Radeon Graphics,,,859.00
Dell,Inspiron 3511,15.60,,1000.00,Core i5,32.00,Windows 11 Home,,Integrated,Intel UHD Graphics,1.00,,678.08
Dell,Latitude,14.00,Black,512.00,Core i5,16.00,Windows 11 Pro,"High Definition Audio, Anti Glare Coating, Memory Card Slot",Integrated,,,5.00,841.99
Dell,Latitude 5520 Laptop,15.60,Black,512.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1347.47
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
Dell,Latitude 3320 Laptop,13.30,Black,256.00,Core i5,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,730.99
Dell,Latitude 7430 Laptop,14.00,Aluminum,1000.00,Core i7,16.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,4.00,941.99
Lenovo,ThinkPad P15 Gen 2,15.60,Black,1000.00,Core i7 Family,32.00,Windows 10 Pro,Anti-glare Screen,RTX A2000,,,,2603.00
Dell,Inspiron 3515,15.60,,256.00,AMD R Series,8.00,Windows 10 Pro,,Integrated,AMD Radeon Graphics,2.10,,976.99
Dell,XPS 15 7590,15.60,,1000.00,Intel Core Duo,32.00,Windows 10 Pro,"Chiclet,Fingerprint Reader",Dedicated,NVIDIA GeForce GTX 1650,,3.00,1599.95
Dell,XPS 9320 Laptop,13.40,Black,2000.00,Core i7,32.00,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,1350.99
Lenovo,ThinkPad E15,15.60,,1000.00,Core i7,24.00,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,1.70,,1094.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,14.00,Rose Gold,64.00,Celeron N4000,16.00,Windows 11,,Integrated,Intel,1.10,4.70,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
Dell,Precision,15.60,Black,512.00,Core i7 Family,16.00,Windows 10,,Dedicated,Radeon Pro WX Vega M GL,,1.00,1399.95
Dell,,14.00,,32.00,Core i7,32.00,,Backlit Kb,Integrated,,1.70,4.30,880.62
Dell,Inspiron 5425 Laptop,14.00,"Gray, Grey, Platinum Silver",512.00,AMD Ryzen 7,16.00,Windows 11 Home,,Integrated,AMD Integrated Graphics,,5.00,800.19
Dell,Latitude 5430 Laptop,14.00,Black,1000.00,Core i7,64.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1134.49
Lenovo,ThinkPad X1 Carbon Gen 8,14.00,Black,512.00,,16.00,Windows 10,Anti-glare,Integrated,Intel UHD Graphics,,3.80,950.77
Razer,Blade 15,15.60,Black,,Corei7-10750H,16.00,Windows 10 Home,Backlit Keyboard,RTX 3070,NVIDIA GeForce TRX 3070,,4.20,3099.00
Dell,Vostro 3520 Laptop,15.60,Black,256.00,Core i5,8.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,628.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,HP EliteBook,14.00,Silver,,1.2  Cortex A8 Processor,1.00,Windows 10,,Integrated,Intel Iris,,,1194.77
Dell,Alienware X14 Laptop,14.00,Lunar Light,1000.00,Core i7,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,,,2086.99
Lenovo,,15.60,Gray,512.00,Core i7,16.00,Windows 10,Fingerprint Reader,Dedicated,NVIDIA GeForce GTX 1650,,3.80,2699.00
Dell,Dell-7855-G7-512SSD,15.60,Black,512.00,Core i7,16.00,Windows 10 Home,,Dedicated,NVIDIA GeForce GTX 1060,,5.00,1799.00
